Добавлена заметка 10;06/18/23:11:44:27
Добавлена заметка 11;06/18/23:11:44:36
Запрошен поиск <built-in function id>;06/18/23:11:44:43
Запрошен поиск <built-in function id>;06/18/23:11:44:46
Запрошен поиск <built-in function id>;06/18/23:11:44:49
Удалена заметка 6;06/18/23:11:44:51
Запрошен поиск <built-in function id>;06/18/23:11:47:58
Добавлена заметка 12;06/18/23:11:48:05
Запрошен поиск <built-in function id>;06/18/23:11:48:08
Запрошен поиск <built-in function id>;06/18/23:11:48:12
Добавлена заметка 7;06/18/23:11:48:19
Добавлена заметка 13;06/18/23:11:48:26
Запрошен поиск <built-in function id>;06/18/23:11:48:54
Добавлена заметка 7;06/18/23:11:48:59
Добавлена заметка 14;06/18/23:11:49:04
Запрошен поиск 2;06/18/23:20:49:38
Добавлена заметка 2;06/18/23:20:50:14
Запрошен поиск 2;06/18/23:20:50:17
Запрошен поиск 3;06/18/23:20:51:07
Удалена заметка 3;06/18/23:20:51:09
Добавлена заметка 7;06/18/23:22:07:46
Добавлена заметка 8;06/18/23:22:07:48
Запрошен поиск 2;06/18/23:22:07:57
Запрошен поиск 3;06/18/23:22:08:00
Удалена заметка 3;06/18/23:22:08:03
Запрошен поиск 2;06/18/23:22:14:52
Добавлена заметка 2;06/18/23:22:15:03
Запрошен поиск 6;06/18/23:22:30:32
Удалена заметка 6;06/18/23:22:30:33
Запрошен поиск 2;06/18/23:22:40:51
Запрошен поиск 3;06/18/23:22:40:53
Удалена заметка 3;06/18/23:22:40:55
Добавлена заметка 6;06/19/23:16:53:29
Запрошен поиск 3;06/19/23:16:53:37
Удалена заметка 3;06/19/23:16:53:39
Запрошен поиск 2;06/19/23:16:53:59
Запрошен поиск 1;06/19/23:16:54:03
Удалена заметка 1;06/19/23:16:54:05
Добавлена заметка 2;06/19/23:16:55:10
Добавлена заметка 3;06/19/23:16:55:20
Добавлена заметка 4;06/19/23:16:55:26
Запрошен поиск 3;06/19/23:16:55:32
Удалена заметка 3;06/19/23:16:55:32
Запрошен поиск 1;06/19/23:17:09:13
Запрошен поиск 2;06/19/23:17:09:17
Удалена заметка 2;06/19/23:17:09:18
Запрошен поиск 2;06/19/23:17:55:03
Запрошен поиск 3;06/19/23:17:55:07
Запрошен поиск 1;06/19/23:17:55:09
Список ID обновлен;06/19/23:17:58:25
Сортировка списка прошла успешно;06/19/23:17:58:25
Список ID обновлен;06/19/23:17:58:25
Список ID обновлен;06/19/23:17:58:25
Добавлена заметка 3;06/19/23:17:58:57
Список ID обновлен;06/19/23:17:58:57
Список ID обновлен;06/19/23:18:01:16
Сортировка списка прошла успешно;06/19/23:18:01:16
Список ID обновлен;06/19/23:18:01:16
Список ID обновлен;06/19/23:18:01:16
Список ID обновлен;06/19/23:18:01:38
Сортировка списка прошла успешно;06/19/23:18:01:38
Список ID обновлен;06/19/23:18:01:38
Список ID обновлен;06/19/23:18:01:42
Список ID обновлен;06/19/23:18:02:52
Сортировка списка прошла успешно;06/19/23:18:02:52
Список ID обновлен;06/19/23:18:02:52
Список ID обновлен;06/19/23:18:02:57
Список ID обновлен;06/19/23:18:06:21
Сортировка списка прошла успешно;06/19/23:18:06:21
Список ID обновлен;06/19/23:18:06:21
Список ID обновлен;06/19/23:18:06:25
Список ID обновлен;06/19/23:18:06:41
Сортировка списка прошла успешно;06/19/23:18:06:41
Список ID обновлен;06/19/23:18:06:41
Список ID обновлен;06/19/23:18:06:41
Список ID обновлен;06/19/23:18:07:05
Сортировка списка прошла успешно;06/19/23:18:07:05
Список ID обновлен;06/19/23:18:07:05
Список ID обновлен;06/19/23:18:07:05
Список ID обновлен;06/19/23:18:20:02
Сортировка списка прошла успешно;06/19/23:18:20:02
Список ID обновлен;06/19/23:18:20:02
Список ID обновлен;06/19/23:18:20:02
Добавлена заметка 11;06/19/23:18:20:05
Список ID обновлен;06/19/23:18:20:05
Список ID обновлен;06/19/23:18:20:16
Сортировка списка прошла успешно;06/19/23:18:20:16
Список ID обновлен;06/19/23:18:20:16
Добавлена заметка 7;06/19/23:18:20:17
Список ID обновлен;06/19/23:18:20:17
Список ID обновлен;06/19/23:18:20:32
Сортировка списка прошла успешно;06/19/23:18:20:32
Список ID обновлен;06/19/23:18:20:32
Вывод всех замето за 19-06-2023;06/19/23:18:20:34
Список ID обновлен;06/19/23:18:25:30
Сортировка списка прошла успешно;06/19/23:18:25:30
Список ID обновлен;06/19/23:18:25:30
Список ID обновлен;06/19/23:18:25:30
Список ID обновлен;06/19/23:18:25:35
Сортировка списка прошла успешно;06/19/23:18:25:35
Список ID обновлен;06/19/23:18:25:35
Открыта новая база данных, путь: D:/Code/GB_Developer/Python/Final Task/data/data.json;06/19/23:18:25:35
